FunctionalLocation,Str,C,Superiorfunctionallocation,PlPl,PG,WorkCtr,ObjectType,Descriptionoffunctionallocation,Objectnumber
1710,YBPM,M,,1710,,0,,Central Services,IF00000000000000000001
1710-CWS,YBPM,M,1710,1710,920,10000013,,Cooling Water System,IF00000000000000000083
1710-CWS-CTW,YBPM,M,1710-CWS,1710,920,10000013,,Cooling Towers,IF00000000000000000084
1710-CWS-CTW-CTW01,YBPM,M,1710-CWS-CTW,1710,920,10000013,,Cooling Tower#01,IF00000000000000000085
1710-CWS-CTW-CTW01-CTFN,YBPM,M,1710-CWS-CTW-CTW01,1710,920,10000013,,Cooling Tower Fan,IF00000000000000000088
1710-CWS-CTW-CTW01-IWIV,YBPM,M,1710-CWS-CTW-CTW01,1710,920,10000013,,Inlet Water Isolation Valve,IF00000000000000000087
1710-CWS-CTW-CTW01-IWPS,YBPM,M,1710-CWS-CTW-CTW01,1710,920,10000013,,Inlet Water Pipes,IF00000000000000000086
1710-CWS-CTW-CTW02,YBPM,M,1710-CWS-CTW,1710,920,10000013,,Cooling Tower#02,IF00000000000000000089
1710-CWS-CTW-CTW02-CTFN,YBPM,M,1710-CWS-CTW-CTW02,1710,920,10000013,,Cooling Tower Fan,IF00000000000000000092
1710-CWS-CTW-CTW02-IWIV,YBPM,M,1710-CWS-CTW-CTW02,1710,920,10000013,,Inlet Water Isolation Valve,IF00000000000000000091
1710-CWS-CTW-CTW02-IWPS,YBPM,M,1710-CWS-CTW-CTW02,1710,920,10000013,,Inlet Water Pipes,IF00000000000000000090
1710-CWS-WCS,YBPM,M,1710-CWS,1710,920,10000013,,Cooling Water Circulation System,IF00000000000000000093
1710-CWS-WCS-CWCP1,YBPM,M,1710-CWS-WCS,1710,920,10000013,,Cooling Water Circulation Pump#01,IF00000000000000000094
1710-CWS-WCS-CWCP2,YBPM,M,1710-CWS-WCS,1710,920,10000013,,Cooling Water Circulation Pump#02,IF00000000000000000095
1710-SPA,YBPM,M,1710,1710,,0,,Plant Air System,IF00000000000000000002
1710-SPA-ADR,YBPM,M,1710-SPA,1710,920,10000013,,Air Dryer System,IF00000000000000000076
