StatusProfile,StatusNumber,Userstatus,Initialstatus,HighestStatNo,LowestStatNo,Position,Priority,StatusTXT04,StatusTXT30
ZPM_ORD1,0,E0012,,0,0,0,0,HOLD,Order on Hold
ZPM_ORD1,0,E0013,,0,0,0,0,KITC,Kitting Complete
ZPM_ORD1,0,E0014,,0,0,0,0,KITR,Kitting Required
ZPM_ORD1,0,E0015,,0,0,0,0,MATR,Parts Returned
ZPM_ORD1,0,E0016,,0,0,0,0,MOCA,MOC Approved
ZPM_ORD1,0,E0017,,0,0,0,0,MOCI,MOC In-process
ZPM_ORD1,0,E0018,,0,0,0,0,MOCJ,MOC Rejected
ZPM_ORD1,0,E0019,,0,0,0,0,MOCR,MOC Required
ZPM_ORD1,0,E0020,,0,0,0,0,WMAT,Waiting for Material
ZPM_ORD1,0,E0021,,0,0,0,0,WSRV,Waiting for Service
ZPM_ORD1,10,E0022,X,30,10,1,1,R2BP,Created
ZPM_ORD1,15,E0023,,25,15,1,1,INPL,In Planning
ZPM_ORD1,20,E0024,,20,20,1,1,CNCL,Cancelled
ZPM_ORD1,25,E0025,,30,15,1,1,PLND,Planning Complete
ZPM_ORD1,30,E0026,,40,30,1,1,OIPR,Order Released
ZPM_ORD1,35,E0027,,40,35,1,1,R2BS,Ready for Scheduling
ZPM_ORD1,40,E0028,,45,40,1,1,SCHD,Scheduled
ZPM_ORD1,45,E0029,,60,30,1,1,COMP,Work Complete
ZPM_ORD1,50,E0030,,55,50,1,1,STRR,Store Review Required
ZPM_ORD1,55,E0031,,60,55,1,1,STRC,Store Review Complete
ZPM_ORD1,60,E0032,,60,45,1,1,CLSD,Order Closed
